initial_ratio,new_ratio,cv,score,time
0.1001129150390625,0.31640625,2,0.48,1.2418346405029297
0.1001129150390625,0.421875,2,0.485,1.2467577457427979
0.1001129150390625,0.5625,2,0.485,1.2335271835327148
0.1001129150390625,0.75,2,0.485,1.1484150886535645
0.1001129150390625,1.0,2,0.485,1.3115131855010986
0.1001129150390625,0.1001129150390625,3,0.66,1.0854897499084473
0.1001129150390625,0.13348388671875,3,0.64,1.1109561920166016
0.1001129150390625,0.177978515625,3,0.63,1.1703426837921143
0.1001129150390625,0.2373046875,3,0.59,1.4201200008392334
0.1001129150390625,0.31640625,3,0.555,1.2555296421051025
0.1001129150390625,0.421875,3,0.54,1.3109841346740723
0.1001129150390625,0.5625,3,0.54,1.2014391422271729
0.1001129150390625,0.75,3,0.54,1.395881175994873
0.1001129150390625,1.0,3,0.54,1.491795539855957
0.1001129150390625,0.1001129150390625,4,0.445,1.1385982036590576
0.1001129150390625,0.13348388671875,4,0.425,1.3226282596588135
0.1001129150390625,0.177978515625,4,0.385,1.1939659118652344
0.1001129150390625,0.2373046875,4,0.385,1.1371431350708008
0.1001129150390625,0.31640625,4,0.37,1.1180198192596436
0.1001129150390625,0.421875,4,0.37,1.110300064086914
0.1001129150390625,0.5625,4,0.37,1.1573865413665771
0.1001129150390625,0.75,4,0.37,1.2158713340759277
0.1001129150390625,1.0,4,0.37,1.34263014793396
0.07508468627929688,0.07508468627929688,0,0.495,1.1037847995758057
0.07508468627929688,0.1001129150390625,0,0.495,1.2420926094055176
0.07508468627929688,0.13348388671875,0,0.455,1.1645972728729248
0.07508468627929688,0.177978515625,0,0.43,1.098587989807129
0.07508468627929688,0.2373046875,0,0.43,1.0543670654296875
0.07508468627929688,0.31640625,0,0.43,0.9738764762878418
0.07508468627929688,0.421875,0,0.43,0.9664340019226074
0.07508468627929688,0.5625,0,0.43,1.0165739059448242
0.07508468627929688,0.75,0,0.43,0.9922347068786621
0.07508468627929688,1.0,0,0.43,1.0498182773590088
0.07508468627929688,0.07508468627929688,1,0.57,0.8935165405273438
0.07508468627929688,0.1001129150390625,1,0.555,1.06026291847229
0.07508468627929688,0.13348388671875,1,0.515,0.9840099811553955
0.07508468627929688,0.177978515625,1,0.45,1.0275459289550781
0.07508468627929688,0.2373046875,1,0.44,0.9884467124938965
0.07508468627929688,0.31640625,1,0.435,0.9555885791778564
0.07508468627929688,0.421875,1,0.435,1.0195460319519043
0.07508468627929688,0.5625,1,0.435,0.999826192855835
0.07508468627929688,0.75,1,0.435,1.0021660327911377
0.07508468627929688,1.0,1,0.435,1.188288927078247
0.07508468627929688,0.07508468627929688,2,0.565,0.9830703735351562
0.07508468627929688,0.1001129150390625,2,0.555,0.9462556838989258
0.07508468627929688,0.13348388671875,2,0.535,1.0031845569610596
0.07508468627929688,0.177978515625,2,0.54,0.9766678810119629
0.07508468627929688,0.2373046875,2,0.54,0.9149844646453857
0.07508468627929688,0.31640625,2,0.54,0.9477396011352539
0.07508468627929688,0.421875,2,0.54,0.9785065650939941
0.07508468627929688,0.5625,2,0.54,0.9567735195159912
0.07508468627929688,0.75,2,0.54,1.0882277488708496
0.07508468627929688,1.0,2,0.54,1.111738681793213
0.07508468627929688,0.07508468627929688,3,0.61,1.0977880954742432
0.07508468627929688,0.1001129150390625,3,0.59,0.9629349708557129
0.07508468627929688,0.13348388671875,3,0.52,1.062260389328003
0.07508468627929688,0.177978515625,3,0.525,1.0091419219970703
0.07508468627929688,0.2373046875,3,0.505,0.9485852718353271
0.07508468627929688,0.31640625,3,0.5,1.0056796073913574
0.07508468627929688,0.421875,3,0.5,0.9698367118835449
0.07508468627929688,0.5625,3,0.5,1.0511655807495117
0.07508468627929688,0.75,3,0.5,1.0673162937164307
0.07508468627929688,1.0,3,0.5,1.2103586196899414
0.07508468627929688,0.07508468627929688,4,0.505,1.0124738216400146
0.07508468627929688,0.1001129150390625,4,0.525,0.9554872512817383
0.07508468627929688,0.13348388671875,4,0.52,0.9928436279296875
0.07508468627929688,0.177978515625,4,0.515,0.9351861476898193
0.07508468627929688,0.2373046875,4,0.51,0.88102126121521
0.07508468627929688,0.31640625,4,0.51,0.9484243392944336
0.07508468627929688,0.421875,4,0.51,0.9292130470275879
0.07508468627929688,0.5625,4,0.51,0.9433674812316895
0.07508468627929688,0.75,4,0.51,1.0089802742004395
0.07508468627929688,1.0,4,0.51,1.0760066509246826
