initial_size,new_size,colapse_rate,cv,score,time
1000,1000,0.0,0,0.7872,1.2786860466003418
1000,1100,0.0,0,0.784,2.1865546703338623
1000,1200,0.0,0,0.7884,2.217817544937134
1000,1300,0.0,0,0.7912,2.2981855869293213
1000,1400,0.0,0,0.7948,2.466064929962158
1000,1500,0.0,0,0.8064,2.559244394302368
1000,1600,0.0,0,0.8048,2.6766104698181152
1000,1700,0.0,0,0.8076,2.945037841796875
1000,1800,0.0,0,0.8096,2.9823591709136963
1000,1900,0.0,0,0.806,3.0693306922912598
1000,2000,0.0,0,0.8152,3.1952595710754395
1000,2100,0.0,0,0.8052,3.272634267807007
1000,2200,0.0,0,0.8084,3.4566874504089355
1000,2300,0.0,0,0.8092,3.577608585357666
1000,2400,0.0,0,0.8112,3.670930862426758
1000,2500,0.0,0,0.8108,3.7874326705932617
1000,2600,0.0,0,0.8144,4.092020273208618
1000,2700,0.0,0,0.8148,4.048352956771851
1000,2800,0.0,0,0.8136,4.182002305984497
1000,2900,0.0,0,0.8148,4.2810657024383545
1000,3000,0.0,0,0.8176,4.400501012802124
1000,3100,0.0,0,0.814,4.568017244338989
1000,3200,0.0,0,0.808,5.032896041870117
1000,3300,0.0,0,0.8132,4.804347276687622
1000,3400,0.0,0,0.8092,4.77409815788269
1000,3500,0.0,0,0.8152,4.911333799362183
1000,3600,0.0,0,0.8148,5.046344041824341
1000,3700,0.0,0,0.814,5.267237901687622
1000,3800,0.0,0,0.8124,5.820057392120361
1000,3900,0.0,0,0.8148,5.83255672454834
1000,4000,0.0,0,0.816,5.611752510070801
1000,4100,0.0,0,0.8204,5.764599084854126
1000,4200,0.0,0,0.816,5.878128528594971
1000,4300,0.0,0,0.8208,5.857832670211792
1000,4400,0.0,0,0.8148,6.0024707317352295
1000,4500,0.0,0,0.8144,6.0830442905426025
1000,4600,0.0,0,0.8228,6.3588104248046875
1000,4700,0.0,0,0.8192,6.37329888343811
1000,4800,0.0,0,0.8216,6.320885419845581
1000,4900,0.0,0,0.8248,6.468278646469116
1000,5000,0.0,0,0.8204,6.732452869415283
1000,5100,0.0,0,0.8204,6.658193349838257
1000,5200,0.0,0,0.8184,8.218983888626099
1000,5300,0.0,0,0.8228,6.896501064300537
1000,5400,0.0,0,0.8184,7.154454231262207
1000,5500,0.0,0,0.8212,7.053912878036499
1000,5600,0.0,0,0.8136,7.162328004837036
1000,5700,0.0,0,0.824,7.3316004276275635
1000,5800,0.0,0,0.8152,7.592905044555664
1000,5900,0.0,0,0.8196,7.6647374629974365
1000,6000,0.0,0,0.82,7.575011730194092
1000,6100,0.0,0,0.8208,7.8813676834106445
1000,6200,0.0,0,0.8268,7.791012763977051
1000,6300,0.0,0,0.82,7.77438759803772
1000,6400,0.0,0,0.8188,8.04515552520752
1000,6500,0.0,0,0.8164,8.778387069702148
1000,6600,0.0,0,0.822,8.886962890625
1000,6700,0.0,0,0.822,8.6103196144104
1000,6800,0.0,0,0.82,8.464099168777466
1000,6900,0.0,0,0.8188,8.686686038970947
1000,7000,0.0,0,0.8236,8.57714295387268
