initial_ratio,new_ratio,cv,score,time
1.0,1.0,0,0.8439125,401.0271873474121
1.0,1.0,1,0.845325,381.3996274471283
1.0,1.0,2,0.8475875,418.2330479621887
1.0,1.0,3,0.8452875,406.0564982891083
1.0,1.0,4,0.846025,419.1454656124115
0.39810717055349726,0.39810717055349726,0,0.8406375,129.40173625946045
0.39810717055349726,1.0,0,0.6908625,1871.5527102947235
0.39810717055349726,0.39810717055349726,1,0.844125,126.90268278121948
0.39810717055349726,1.0,1,0.7146875,1842.7400176525116
0.39810717055349726,0.39810717055349726,2,0.8407625,122.36366701126099
0.39810717055349726,1.0,2,0.699175,1832.756111383438
0.39810717055349726,0.39810717055349726,3,0.8418875,119.32929992675781
0.39810717055349726,1.0,3,0.7225125,1889.9917721748352
0.39810717055349726,0.39810717055349726,4,0.842025,138.2426736354828
0.39810717055349726,1.0,4,0.696875,1837.43998503685
0.15848931924611134,0.15848931924611134,0,0.845425,47.161481618881226
0.15848931924611134,0.39810717055349726,0,0.765325,226.21234965324402
0.15848931924611134,1.0,0,0.5193875,1800.7569298744202
0.15848931924611134,0.15848931924611134,1,0.8488375,44.219473123550415
0.15848931924611134,0.39810717055349726,1,0.8194375,215.60738372802734
0.15848931924611134,1.0,1,0.728025,1359.6040399074554
0.15848931924611134,0.15848931924611134,2,0.844475,46.66830801963806
0.15848931924611134,0.39810717055349726,2,0.749625,227.45481729507446
0.15848931924611134,1.0,2,0.5079,2116.021899700165
0.15848931924611134,0.15848931924611134,3,0.849725,55.54225540161133
0.15848931924611134,0.39810717055349726,3,0.7995375,239.763081073761
0.15848931924611134,1.0,3,0.5714375,1559.8424236774445
0.15848931924611134,0.15848931924611134,4,0.8483625,46.85935139656067
0.15848931924611134,0.39810717055349726,4,0.801525,237.46024203300476
0.15848931924611134,1.0,4,0.5845125,1580.117731809616
0.06309573444801933,0.06309573444801933,0,0.8363875,19.30953598022461
0.06309573444801933,0.15848931924611134,0,0.7343625,53.02528977394104
0.06309573444801933,0.39810717055349726,0,0.5130125,275.59259009361267
0.06309573444801933,1.0,0,0.502625,9340.84279680252
0.06309573444801933,0.06309573444801933,1,0.837025,20.092683792114258
0.06309573444801933,0.15848931924611134,1,0.7206,50.6659095287323
0.06309573444801933,0.39810717055349726,1,0.50445,286.1935918331146
0.06309573444801933,1.0,1,0.498825,9119.950781345367
0.06309573444801933,0.06309573444801933,2,0.8417,20.447585821151733
