generation,score,collapse_rate,min_df,ngram_range,max_features,n_estimators,max_depth,min_samples_split,min_samples_leaf,bootstrap,time
0,0.828,0.05,"1","(1, 3)",sqrt,1004,10,3,3,True,74.63968253135681
0,0.8182400000000001,0.05,"1","(1, 2)",sqrt,956,15,4,2,False,60.74086666107178
0,0.5861000000000001,0.05,"1","(1, 1)",log2,838,2,4,1,False,10.936321496963501
0,0.7929999999999999,0.05,"2","(1, 2)",sqrt,1104,4,4,3,True,20.57479166984558
0,0.8347,0.05,"1","(1, 1)",sqrt,1000,18,6,2,False,41.466418981552124
0,0.8268799999999998,0.05,"1","(1, 1)",sqrt,1116,9,3,1,True,24.86763024330139
0,0.82596,0.05,"1","(1, 1)",sqrt,933,13,4,4,False,21.776257038116455
0,0.54108,0.05,"1","(1, 4)",sqrt,1340,1,2,2,False,65.45604300498962
0,0.8049000000000002,0.05,"1","(1, 5)",sqrt,1033,19,5,2,False,190.8082549571991
0,0.50154,0.05,"1","(1, 1)",log2,864,1,6,2,False,13.267675161361694
0,0.8320399999999999,0.05,"1","(1, 1)",sqrt,1247,19,7,2,False,52.66618871688843
0,0.81634,0.05,"1","(1, 2)",sqrt,1287,14,6,4,False,58.954272747039795
0,0.8356999999999999,0.05,"2","(1, 3)",sqrt,900,18,2,2,False,52.28815793991089
0,0.8450799999999999,0.05,"1","(1, 3)",sqrt,1082,23,2,1,False,346.38134241104126
0,0.8398,0.05,"1","(1, 1)",sqrt,1337,35,2,3,False,87.06899952888489
0,0.8435600000000001,0.05,"1","(1, 3)",sqrt,1248,27,4,6,True,142.8563995361328
0,0.7772,0.05,"1","(1, 4)",sqrt,1019,10,4,3,True,97.2549078464508
0,0.82896,0.05,"1","(1, 1)",sqrt,997,11,6,4,False,20.91571617126465
0,0.8328,0.05,"2","(1, 2)",sqrt,1173,6,5,2,True,24.77064085006714
0,0.8328599999999999,0.05,"3","(1, 3)",sqrt,1317,16,2,1,False,61.914201974868774
0,0.81038,0.05,"1","(1, 2)",sqrt,1010,14,4,1,True,71.26226663589478
0,0.8356999999999999,0.05,"1","(1, 1)",sqrt,991,19,7,1,False,46.59250831604004
0,0.60026,0.05,"1","(1, 3)",sqrt,1128,1,4,4,True,47.31786036491394
0,0.50058,0.05,"1","(1, 3)",log2,780,1,8,1,False,35.377415895462036
0,0.8381399999999999,0.05,"1","(1, 1)",sqrt,1104,23,7,2,False,47.60316705703735
0,0.83368,0.05,"1","(1, 1)",sqrt,1109,26,6,2,True,45.26905703544617
0,0.83578,0.05,"2","(1, 2)",sqrt,1299,25,5,5,True,40.596214294433594
0,0.8390000000000001,0.05,"2","(1, 4)",sqrt,762,23,3,1,False,56.95985770225525
0,0.827,0.05,"1","(1, 4)",sqrt,1229,15,4,5,False,120.60580372810364
0,0.6622600000000001,0.05,"1","(1, 5)",sqrt,1172,4,2,2,True,71.59019351005554
0,0.8389199999999999,0.05,"2","(1, 2)",sqrt,939,32,3,2,False,63.60408568382263
0,0.8377399999999999,0.05,"1","(1, 2)",sqrt,1215,30,2,3,False,64.51785016059875
0,0.8239000000000001,0.05,"1","(1, 4)",sqrt,1200,16,4,1,False,115.84102439880371
1,0.82858,0.047564658010470766,"3","(1, 1)",sqrt,170,33,7,4,True,104.2821056842804
1,0.58092,0.05548314155461575,"2","(1, 1)",sqrt,1277,19,7,3,False,153.9729859828949
1,0.79758,0.05658151172046542,"3","(1, 1)",sqrt,170,33,7,4,True,163.93457961082458
1,0.8211600000000001,0.05865445691453762,"3","(1, 1)",sqrt,170,33,7,4,True,180.16729497909546
1,0.81648,0.04501483854070467,"3","(1, 1)",sqrt,170,33,7,4,True,182.0520670413971
1,0.79766,0.05945698734667484,"2","(1, 1)",sqrt,1277,19,7,3,False,184.81791424751282
1,0.53528,0.054748055741622066,"2","(1, 1)",sqrt,1277,19,7,3,False,187.50785994529724
1,0.7548999999999999,0.04601312556678556,"2","(1, 1)",sqrt,1277,19,7,3,False,190.48392844200134
1,0.7581200000000001,0.05972759707683607,"2","(1, 1)",sqrt,1277,19,7,3,False,191.6548523902893
1,0.78372,0.05813688397293021,"3","(1, 1)",sqrt,170,33,7,4,True,191.49898099899292
1,0.72688,0.05857850217396337,"2","(1, 1)",sqrt,1277,19,7,3,False,194.153822183609
1,0.82556,0.010848979858056794,"3","(1, 1)",sqrt,170,33,7,4,True,203.12771487236023
1,0.8286800000000001,0.06543755996680943,"3","(1, 1)",sqrt,170,33,7,4,True,209.5360198020935
1,0.8193000000000001,0.057025493248483224,"2","(1, 1)",sqrt,1277,19,7,3,False,226.7842516899109
1,0.8303,0.06599680179759035,"3","(1, 1)",sqrt,170,33,7,4,True,234.92429971694946
1,0.8232400000000002,0.03976951879372981,"2","(1, 1)",sqrt,1277,19,7,3,False,236.56467485427856
1,0.8354000000000001,0.04993859812006948,"3","(1, 1)",sqrt,170,33,7,4,True,246.16063809394836
1,0.8251799999999999,0.04549436548525704,"2","(1, 1)",sqrt,1277,19,7,3,False,247.6189820766449
1,0.68106,0.047637116345244715,"1","(1, 2)",log2,1670,5,3,5,False,249.09325575828552
1,0.49842,0.06873842679346713,"1","(1, 2)",log2,1670,5,3,5,False,252.54402256011963
1,0.5,0.040237220552171216,"1","(1, 2)",log2,1670,5,3,5,False,264.8526246547699
