initial_size,new_size,colapse_rate,cv,score,time
1000,1000,0.0,0,0.8013846153846154,1.2958803176879883
1000,1100,0.0,0,0.8044820512820513,2.372284173965454
1000,1200,0.0,0,0.8044794871794871,2.451978921890259
1000,1300,0.0,0,0.8081589743589743,2.726161003112793
1000,1400,0.0,0,0.8135897435897436,2.9090678691864014
1000,1500,0.0,0,0.8133384615384616,2.9764769077301025
1000,1600,0.0,0,0.8154564102564102,3.216306686401367
1000,1700,0.0,0,0.8170512820512821,4.366101503372192
1000,1800,0.0,0,0.8177948717948718,3.6296777725219727
1000,1900,0.0,0,0.8172512820512821,3.5676026344299316
1000,2000,0.0,0,0.8190333333333333,3.6932594776153564
1000,2100,0.0,0,0.8179153846153846,4.384289741516113
1000,2200,0.0,0,0.8206820512820513,3.902438163757324
1000,2300,0.0,0,0.8216230769230769,4.552541255950928
1000,2400,0.0,0,0.8234179487179487,4.399872541427612
1000,2500,0.0,0,0.8253282051282052,4.645697116851807
1000,2600,0.0,0,0.8272384615384616,4.857025861740112
1000,2700,0.0,0,0.8280615384615385,4.767703294754028
1000,2800,0.0,0,0.8283410256410256,4.99239182472229
1000,2900,0.0,0,0.831325641025641,5.38981032371521
1000,3000,0.0,0,0.8298692307692308,5.231106281280518
1000,3100,0.0,0,0.8279948717948717,5.40972375869751
1000,3200,0.0,0,0.8258564102564102,6.325338363647461
1000,3300,0.0,0,0.8246743589743589,5.708529472351074
1000,3400,0.0,0,0.8308666666666666,5.4648096561431885
1000,3500,0.0,0,0.8314461538461538,5.48415470123291
1000,3600,0.0,0,0.8296846153846154,6.082000494003296
1000,3700,0.0,0,0.8306589743589744,7.983898639678955
1000,3800,0.0,0,0.8315179487179487,9.289263725280762
1000,3900,0.0,0,0.8326615384615385,6.399919033050537
1000,4000,0.0,0,0.8319564102564102,5.9271769523620605
1000,4100,0.0,0,0.8311128205128205,6.178612232208252
1000,4200,0.0,0,0.8297051282051282,6.843358039855957
1000,4300,0.0,0,0.8298846153846153,6.417419672012329
1000,4400,0.0,0,0.8293384615384616,7.011497259140015
1000,4500,0.0,0,0.8324435897435898,6.338086843490601
1000,4600,0.0,0,0.8321538461538461,8.937195301055908
1000,4700,0.0,0,0.8333076923076923,8.001682043075562
1000,4800,0.0,0,0.8327846153846153,7.492147445678711
1000,4900,0.0,0,0.8337256410256411,7.5304481983184814
1000,5000,0.0,0,0.8329666666666666,6.961966037750244
1000,5100,0.0,0,0.8301307692307692,7.0149922370910645
1000,5200,0.0,0,0.8302948717948718,7.464306831359863
1000,5300,0.0,0,0.8312102564102564,7.787980556488037
1000,5400,0.0,0,0.8325538461538462,7.924267768859863
1000,5500,0.0,0,0.830076923076923,8.188318252563477
1000,5600,0.0,0,0.8295641025641025,8.442819118499756
1000,5700,0.0,0,0.8312897435897436,9.097167730331421
1000,5800,0.0,0,0.8307615384615384,8.206589698791504
1000,5900,0.0,0,0.8307846153846153,8.614939212799072
1000,6000,0.0,0,0.8316333333333333,10.879584074020386
1000,6100,0.0,0,0.8329769230769231,10.262101888656616
1000,6200,0.0,0,0.8325846153846154,9.901208400726318
1000,6300,0.0,0,0.8307230769230769,8.972444772720337
1000,6400,0.0,0,0.833223076923077,11.630953073501587
1000,6500,0.0,0,0.8312487179487179,10.550887107849121
1000,6600,0.0,0,0.8297589743589744,10.856559991836548
1000,6700,0.0,0,0.8316282051282051,11.336673021316528
1000,6800,0.0,0,0.8303666666666667,9.906682014465332
1000,6900,0.0,0,0.8311128205128205,9.969997882843018
1000,7000,0.0,0,0.8331512820512821,11.854005813598633
1000,7100,0.0,0,0.8347769230769231,12.00193190574646
1000,7200,0.0,0,0.8347333333333333,10.485406875610352
1000,7300,0.0,0,0.834448717948718,10.57673954963684
1000,7400,0.0,0,0.8343358974358974,10.330728769302368
1000,7500,0.0,0,0.8351923076923077,14.592296361923218
1000,7600,0.0,0,0.8351974358974359,12.069992542266846
1000,7700,0.0,0,0.8352820512820512,12.828651666641235
1000,7800,0.0,0,0.8353589743589743,13.347314357757568
1000,7900,0.0,0,0.8353,13.394680261611938
1000,8000,0.0,0,0.8370153846153846,14.953722953796387
1000,8100,0.0,0,0.838551282051282,12.603408575057983
1000,8200,0.0,0,0.8376871794871795,14.856340169906616
1000,8300,0.0,0,0.8373025641025641,11.810183763504028
1000,8400,0.0,0,0.8376743589743589,12.029778003692627
1000,8500,0.0,0,0.8377923076923077,11.54920506477356
1000,8600,0.0,0,0.8389897435897435,11.43904733657837
1000,8700,0.0,0,0.8401307692307692,14.684061527252197
1000,8800,0.0,0,0.840751282051282,13.630019664764404
1000,8900,0.0,0,0.8412128205128205,16.078121662139893
1000,9000,0.0,0,0.840176923076923,13.944328784942627
1000,9100,0.0,0,0.8409948717948718,15.274353981018066
1000,9200,0.0,0,0.8394410256410256,15.127962112426758
1000,9300,0.0,0,0.8410615384615384,16.36891794204712
1000,9400,0.0,0,0.8396384615384616,14.80386757850647
1000,9500,0.0,0,0.8400435897435897,14.342058658599854
1000,9600,0.0,0,0.8404384615384616,14.040749549865723
1000,9700,0.0,0,0.8413717948717949,14.428647756576538
1000,9800,0.0,0,0.8418564102564102,14.815582275390625
1000,9900,0.0,0,0.8407615384615384,14.44227409362793
1000,10000,0.0,0,0.8415666666666667,12.82304334640503
1000,1000,0.0,1,0.7943435897435898,1.288548469543457
1000,1100,0.0,1,0.7971153846153847,2.2696585655212402
1000,1200,0.0,1,0.8015,2.5188350677490234
1000,1300,0.0,1,0.8061871794871794,2.8481736183166504
1000,1400,0.0,1,0.8084948717948718,3.526439666748047
1000,1500,0.0,1,0.8100564102564103,3.564399003982544
1000,1600,0.0,1,0.8123923076923077,5.639131784439087
1000,1700,0.0,1,0.8148025641025641,4.605964660644531
1000,1800,0.0,1,0.8174589743589744,3.401822566986084
1000,1900,0.0,1,0.8183666666666667,3.4391024112701416
1000,2000,0.0,1,0.8163717948717949,3.683906316757202
1000,2100,0.0,1,0.8188589743589744,7.0215747356414795
1000,2200,0.0,1,0.819451282051282,5.166555643081665
1000,2300,0.0,1,0.8188102564102564,6.008385181427002
1000,2400,0.0,1,0.8198692307692308,6.779006242752075
1000,2500,0.0,1,0.8220974358974359,5.107144594192505
1000,2600,0.0,1,0.8205205128205129,6.265941858291626
1000,2700,0.0,1,0.8226230769230769,5.656606912612915
1000,2800,0.0,1,0.8248615384615384,6.840223073959351
1000,2900,0.0,1,0.824074358974359,7.252234935760498
1000,3000,0.0,1,0.8251307692307692,7.3926897048950195
1000,3100,0.0,1,0.8259512820512821,7.46456503868103
1000,3200,0.0,1,0.8259282051282051,6.523606538772583
1000,3300,0.0,1,0.8278205128205128,5.626767635345459
1000,3400,0.0,1,0.8276589743589744,8.819669961929321
1000,3500,0.0,1,0.8296205128205129,8.131614446640015
1000,3600,0.0,1,0.8311487179487179,7.542324542999268
1000,3700,0.0,1,0.8313230769230769,6.567012548446655
