ratio,cv,score,time
0.00023810945356001964,0,0.6087375,0.40758180618286133
0.00023810945356001964,1,0.6304375,0.46284031867980957
0.00023810945356001964,2,0.6537625,0.46304869651794434
0.00023810945356001964,3,0.6021875,0.45202183723449707
0.00023810945356001964,4,0.595,0.4813253879547119
0.00023810945356001964,5,0.5618875,0.5036003589630127
0.00023810945356001964,6,0.5870375,0.5350403785705566
0.00023810945356001964,7,0.608575,0.5550925731658936
0.00023810945356001964,8,0.585375,0.5716671943664551
0.00023810945356001964,9,0.630375,0.6084873676300049
0.0003174792714133595,0,0.6769375,0.6834588050842285
0.0003174792714133595,1,0.6253375,0.6948995590209961
0.0003174792714133595,2,0.672475,0.7280950546264648
0.0003174792714133595,3,0.641875,0.6958417892456055
0.0003174792714133595,4,0.6314125,0.7252473831176758
0.0003174792714133595,5,0.6327125,0.7269222736358643
0.0003174792714133595,6,0.667775,0.7375705242156982
0.0003174792714133595,7,0.6686125,0.7085521221160889
0.0003174792714133595,8,0.651925,0.7174258232116699
0.0003174792714133595,9,0.6911625,0.6798913478851318
0.0004233056952178127,0,0.67285,0.7624754905700684
0.0004233056952178127,1,0.6179375,0.7383787631988525
0.0004233056952178127,2,0.61425,0.7625911235809326
0.0004233056952178127,3,0.682975,0.7365632057189941
0.0004233056952178127,4,0.682525,0.7297530174255371
0.0004233056952178127,5,0.670675,0.745629072189331
0.0004233056952178127,6,0.652475,0.7401578426361084
0.0004233056952178127,7,0.6654125,0.771240234375
0.0004233056952178127,8,0.6609125,0.7761178016662598
0.0004233056952178127,9,0.692125,0.770496129989624
0.0005644075936237503,0,0.71155,0.8543121814727783
0.0005644075936237503,1,0.702975,0.8871090412139893
0.0005644075936237503,2,0.69105,0.8689303398132324
0.0005644075936237503,3,0.7004125,0.8969483375549316
0.0005644075936237503,4,0.7191875,0.857835054397583
0.0005644075936237503,5,0.7216875,0.8779020309448242
0.0005644075936237503,6,0.7132125,0.8142309188842773
0.0005644075936237503,7,0.6533,0.8915860652923584
0.0005644075936237503,8,0.7224625,0.8919947147369385
0.0005644075936237503,9,0.69645,0.9484286308288574
0.0007525434581650003,0,0.7153875,0.9487485885620117
0.0007525434581650003,1,0.7398125,0.940777063369751
0.0007525434581650003,2,0.7035625,0.9062161445617676
0.0007525434581650003,3,0.722875,0.9194333553314209
0.0007525434581650003,4,0.738225,0.9181764125823975
0.0007525434581650003,5,0.704125,0.8848581314086914
0.0007525434581650003,6,0.7056875,1.0078210830688477
0.0007525434581650003,7,0.668925,1.1595172882080078
0.0007525434581650003,8,0.7425875,1.0681757926940918
0.0007525434581650003,9,0.726175,1.1245431900024414
0.0010033912775533338,0,0.73905,1.1903777122497559
0.0010033912775533338,1,0.741025,1.1526708602905273
0.0010033912775533338,2,0.7554125,1.2819654941558838
0.0010033912775533338,3,0.7540125,1.1829516887664795
0.0010033912775533338,4,0.7372625,1.11738920211792
0.0010033912775533338,5,0.727275,1.061279535293579
0.0010033912775533338,6,0.7583625,1.1495716571807861
0.0010033912775533338,7,0.744775,1.117619514465332
0.0010033912775533338,8,0.710425,1.2480764389038086
0.0010033912775533338,9,0.7113625,1.0357756614685059
0.0013378550367377784,0,0.7479625,1.2095658779144287
0.0013378550367377784,1,0.7652,1.227027416229248
0.0013378550367377784,2,0.7798875,1.2609531879425049
0.0013378550367377784,3,0.7387125,1.2057018280029297
0.0013378550367377784,4,0.7592875,1.3801076412200928
0.0013378550367377784,5,0.7633375,1.2485454082489014
0.0013378550367377784,6,0.7678,1.3460700511932373
0.0013378550367377784,7,0.7467875,1.3794581890106201
0.0013378550367377784,8,0.7545375,1.32200288772583
0.0013378550367377784,9,0.7474875,1.1974005699157715
0.0017838067156503712,0,0.7726625,1.4575934410095215
0.0017838067156503712,1,0.7777625,1.444756269454956
0.0017838067156503712,2,0.768875,1.6005914211273193
0.0017838067156503712,3,0.77595,1.4916765689849854
0.0017838067156503712,4,0.7797125,1.777587890625
0.0017838067156503712,5,0.7687125,1.5330052375793457
0.0017838067156503712,6,0.777575,1.4451825618743896
0.0017838067156503712,7,0.7700125,1.420130729675293
0.0017838067156503712,8,0.783025,1.489053726196289
0.0017838067156503712,9,0.76605,1.600257396697998
0.002378408954200495,0,0.7859625,1.7869174480438232
0.002378408954200495,1,0.7909875,1.8531525135040283
0.002378408954200495,2,0.78185,1.7608015537261963
0.002378408954200495,3,0.7907375,1.7705810070037842
0.002378408954200495,4,0.7796125,1.7372689247131348
0.002378408954200495,5,0.766,1.7502620220184326
0.002378408954200495,6,0.78775,1.8158226013183594
0.002378408954200495,7,0.7599375,1.7381234169006348
0.002378408954200495,8,0.780525,1.7302618026733398
0.002378408954200495,9,0.77895,1.885735273361206
0.0031712119389339932,0,0.79535,1.9489073753356934
0.0031712119389339932,1,0.7985,2.0706207752227783
0.0031712119389339932,2,0.7998625,2.303802013397217
0.0031712119389339932,3,0.787275,2.109118700027466
0.0031712119389339932,4,0.7835125,2.1512091159820557
0.0031712119389339932,5,0.79625,2.050135612487793
0.0031712119389339932,6,0.7856125,2.1728436946868896
0.0031712119389339932,7,0.7889375,2.181711435317993
0.0031712119389339932,8,0.80105,2.2878060340881348
0.0031712119389339932,9,0.7964625,2.0313189029693604
0.004228282585245324,0,0.8088625,2.4788877964019775
0.004228282585245324,1,0.8102625,2.5241854190826416
0.004228282585245324,2,0.79605,2.902050018310547
0.004228282585245324,3,0.8068,2.681288003921509
0.004228282585245324,4,0.7973875,2.453916549682617
0.004228282585245324,5,0.795675,2.6698670387268066
0.004228282585245324,6,0.8054625,2.512812614440918
0.004228282585245324,7,0.798525,2.4713492393493652
